Task_ID,Parsed_Intent,Action_Taken,Base_Reward,Total_Reward,Timestamp,Confidence_Score,User_Feedback,Suggested_Correct_Action,Sigmoid_Confidence,Softmax_Confidence,Ranking_Confidence,Follow_up_Task,Follow_up_Accepted,Follow_up_Reward,Chosen_Q_Value,Mean_Other_Q_Values
E1-T1,mute,open,-1,0,2025-09-24T12:10:28,0.457,👎,set_dnd,0.5,0.143,1.0,,False,1,0.0,0.0
E1-T2,clear,open,-1,0,2025-09-24T12:10:28,0.457,👎,mute,0.5,0.143,1.0,,False,1,0.0,0.0
E1-T3,play,open,2,2,2025-09-24T12:10:28,0.457,👍,,0.5,0.143,1.0,close,False,0,0.0,0.0
E1-T4,open,open,2,3,2025-09-24T12:10:28,0.457,👍,,0.5,0.143,1.0,close,True,1,0.0,0.0
E1-T5,set,open,-1,0,2025-09-24T12:10:28,0.457,👎,unmute,0.5,0.143,1.0,,False,1,0.0,0.0
E1-T6,adjust,open,-1,0,2025-09-24T12:10:28,0.457,👎,open,0.5,0.143,1.0,,False,1,0.0,0.0
E1-T7,stop,open,-1,0,2025-09-24T12:10:28,0.457,👎,set_dnd,0.5,0.143,1.0,,False,1,0.0,0.0
E1-T8,check,open,2,3,2025-09-24T12:10:28,0.457,👍,,0.5,0.143,1.0,close,True,1,0.0,0.0
E1-T9,check,open,-1,0,2025-09-24T12:10:28,0.62,👎,unmute,0.881,0.169,1.0,,False,1,0.4,0.0
E1-T10,unmute,mute,2,2,2025-09-24T12:10:28,0.457,👍,,0.5,0.143,1.0,unmute,False,0,0.0,0.0
E2-T1,check,unmute,2,3,2025-09-24T12:10:28,0.669,👍,,0.854,0.317,1.0,play,True,1,2.0,-0.05333333333333334
E2-T2,set,unmute,2,2,2025-09-24T12:10:28,0.661,👍,,0.831,0.322,1.0,play,False,0,2.0,-0.10666666666666665
E2-T3,check,unmute,2,2,2025-09-24T12:10:28,0.686,👍,,0.858,0.357,1.0,play,False,0,2.36,-0.05333333333333334
E2-T4,play,open,-1,0,2025-09-24T12:10:28,0.62,👎,close,0.881,0.169,1.0,,False,1,0.4,0.0
E2-T5,record,open,-1,0,2025-09-24T12:10:28,0.457,👎,close,0.5,0.143,1.0,,False,1,0.0,0.0
E2-T6,play,close,-1,0,2025-09-24T12:10:28,0.669,👎,unmute,0.854,0.317,1.0,,False,1,2.0,-0.05333333333333334
E2-T7,check,unmute,2,3,2025-09-24T12:10:28,0.704,👍,,0.861,0.399,1.0,play,True,1,2.7128,-0.05333333333333334
E2-T8,send,open,2,3,2025-09-24T12:10:28,0.457,👍,,0.5,0.143,1.0,close,True,1,0.0,0.0
E2-T9,update,open,2,2,2025-09-24T12:10:28,0.457,👍,,0.5,0.143,1.0,close,False,0,0.0,0.0
E2-T10,check,unmute,2,3,2025-09-24T12:10:28,0.722,👍,,0.863,0.441,1.0,play,True,1,3.0585440000000004,-0.05333333333333334
E3-T1,unmute,open,-1,0,2025-09-24T12:10:28,0.394,👎,set_dnd,0.417,0.138,0.857,,False,1,0.0,0.06666666666666667
E3-T2,record,close,2,3,2025-09-24T12:10:28,0.661,👍,,0.831,0.322,1.0,screenshot,True,1,2.0,-0.10666666666666665
E3-T3,record,close,-1,0,2025-09-24T12:10:28,0.68,👎,open,0.838,0.362,1.0,,False,1,2.36,-0.10666666666666665
E3-T4,set,unmute,-1,0,2025-09-24T12:10:28,0.68,👎,unmute,0.838,0.362,1.0,,False,1,2.36,-0.10666666666666665
E3-T5,check,unmute,2,3,2025-09-24T12:10:28,0.739,👍,,0.865,0.483,1.0,play,True,1,3.39737312,-0.05333333333333334
E3-T6,open,unmute,-1,0,2025-09-24T12:10:28,0.394,👎,close,0.417,0.138,0.857,,False,1,0.0,0.06666666666666667
E3-T7,update,open,-1,0,2025-09-24T12:10:28,0.62,👎,set_dnd,0.881,0.169,1.0,,False,1,0.4,0.0
E3-T8,set,unmute,2,3,2025-09-24T12:10:28,0.719,👍,,0.847,0.451,1.0,play,True,1,3.0928,-0.10666666666666665
E3-T9,review,open,2,2,2025-09-24T12:10:28,0.457,👍,,0.5,0.143,1.0,close,False,0,0.0,0.0
E3-T10,adjust,open,2,2,2025-09-24T12:10:28,0.631,👍,,0.881,0.198,1.0,close,False,0,0.78,0.0
E4-T1,play,unmute,2,3,2025-09-24T12:10:28,0.653,👍,,0.836,0.296,1.0,play,True,1,2.0,0.10666666666666665
E4-T2,record,screenshot,2,3,2025-09-24T12:10:28,0.329,👍,,0.352,0.114,0.714,open,True,1,0.0,0.41546666666666665
E4-T3,review,open,-1,0,2025-09-24T12:10:28,0.62,👎,unmute,0.881,0.169,1.0,,False,1,0.4,0.0
E4-T4,set,screenshot,2,3,2025-09-24T12:10:28,0.384,👍,,0.443,0.089,0.857,close,True,1,0.0,0.4651573333333334
E4-T5,unmute,set_dnd,2,3,2025-09-24T12:10:28,0.655,👍,,0.824,0.314,1.0,unmute,True,1,2.0,-0.03999999999999998
E4-T6,record,open,-1,0,2025-09-24T12:10:28,0.617,👎,open,0.827,0.217,1.0,,False,1,1.36,0.2962666666666667
E4-T7,close,open,2,3,2025-09-24T12:10:28,0.457,👍,,0.5,0.143,1.0,close,True,1,0.0,0.0
E4-T8,send,open,2,3,2025-09-24T12:10:28,0.62,👍,,0.881,0.169,1.0,close,True,1,0.4,0.0
E4-T9,backup,open,-1,0,2025-09-24T12:10:28,0.457,👎,screenshot,0.5,0.143,1.0,,False,1,0.0,0.0
E4-T10,mute,set_dnd,2,3,2025-09-24T12:10:28,0.661,👍,,0.831,0.322,1.0,unmute,True,1,2.0,-0.10666666666666665
E5-T1,clear,mute,2,2,2025-09-24T12:10:28,0.661,👍,,0.831,0.322,1.0,unmute,False,0,2.0,-0.10666666666666665
E5-T2,send,open,2,3,2025-09-24T12:10:28,0.632,👍,,0.881,0.198,1.0,close,True,1,0.792,0.0
E5-T3,adjust,open,2,3,2025-09-24T12:10:28,0.644,👍,,0.881,0.23,1.0,close,True,1,1.1644,0.0
E5-T4,review,unmute,2,2,2025-09-24T12:10:28,0.669,👍,,0.854,0.317,1.0,play,False,0,2.0,-0.05333333333333334
E5-T5,play,unmute,2,2,2025-09-24T12:10:28,0.671,👍,,0.843,0.335,1.0,play,False,0,2.36,0.10666666666666665
E5-T6,edit,open,2,3,2025-09-24T12:10:28,0.457,👍,,0.5,0.143,1.0,close,True,1,0.0,0.0
E5-T7,mute,play,2,2,2025-09-24T12:10:28,0.397,👍,,0.452,0.111,0.857,mute,False,0,0.0,0.2866666666666667
E5-T8,open,close,2,2,2025-09-24T12:10:28,0.655,👍,,0.824,0.314,1.0,open,False,0,2.0,-0.03999999999999998
E5-T9,check,close,2,2,2025-09-24T12:10:28,0.376,👍,,0.43,0.081,0.857,open,False,0,0.0,0.5682376096
E5-T10,record,open,-1,0,2025-09-24T12:10:28,0.654,👎,open,0.848,0.287,1.0,,False,1,2.1128000000000005,0.2962666666666667
E6-T1,check,set_dnd,2,3,2025-09-24T12:10:28,0.337,👍,,0.409,0.077,0.714,unmute,True,1,0.0,0.7467870459946667
E6-T2,play,unmute,2,3,2025-09-24T12:10:28,0.689,👍,,0.848,0.375,1.0,play,True,1,2.7128,0.10666666666666665
E6-T3,check,unmute,2,2,2025-09-24T12:10:28,0.726,👍,,0.844,0.47,1.0,play,False,0,3.7294256576,0.30376553945600004
E6-T4,send,open,2,3,2025-09-24T12:10:28,0.645,👍,,0.881,0.231,1.0,close,True,1,1.17616,0.0
E6-T5,check,mute,2,2,2025-09-24T12:10:28,0.297,👍,,0.39,0.067,0.571,unmute,False,0,0.0,0.9795717301973333
E6-T6,mute,set_dnd,2,3,2025-09-24T12:10:28,0.667,👍,,0.825,0.343,1.0,unmute,True,1,2.36,0.03080000000000005
E6-T7,set,unmute,2,2,2025-09-24T12:10:28,0.722,👍,,0.84,0.465,1.0,screenshot,False,0,3.430944,0.06292832000000004
E6-T8,record,open,-1,0,2025-09-24T12:10:28,0.69,👎,open,0.857,0.368,1.0,,False,1,2.8505440000000006,0.2962666666666667
E6-T9,play,mute,2,2,2025-09-24T12:10:28,0.343,👍,,0.41,0.09,0.714,unmute,False,0,0.0,0.6164240000000001
E6-T10,stop,set_dnd,2,2,2025-09-24T12:10:28,0.661,👍,,0.831,0.322,1.0,unmute,False,0,2.0,-0.10666666666666665
E1-T1,join,play,-1,0,2025-09-24T13:19:33,0.457,👎,open,0.5,0.143,1.0,,False,1,0.0,0.0
E1-T2,check,unmute,-1,0,2025-09-24T13:19:33,0.729,👎,screenshot,0.836,0.486,1.0,,False,1,4.054837144448,0.4920773204561068
E1-T3,restart,open,2,3,2025-09-24T13:19:33,0.457,👍,,0.5,0.143,1.0,close,True,1,0.0,0.0
E1-T4,review,unmute,-1,0,2025-09-24T13:19:33,0.686,👎,play,0.858,0.357,1.0,,False,1,2.36,-0.05333333333333334
