Task_ID,Parsed_Intent,Action_Taken,Base_Reward,Total_Reward,Timestamp,Confidence_Score,User_Feedback,Suggested_Correct_Action,Sigmoid_Confidence,Softmax_Confidence,Ranking_Confidence,Follow_up_Task,Follow_up_Accepted,Follow_up_Reward,Chosen_Q_Value,Mean_Other_Q_Values
1-1,open,unmute,2,2,2025-09-24T13:40:43,0.5,👍 Correct,,0,0.5,0.5,,False,0,0,0
1-2,check,mute,2,2,2025-09-24T13:40:43,0.5,👍 Correct,,0,0.5,0.5,,False,0,0,0
1-3,mute,set_dnd,2,2,2025-09-24T13:40:43,0.5,👍 Correct,,0,0.5,0.5,,False,0,0,0
1-4,take,play,2,2,2025-09-24T13:40:43,0.5,👍 Correct,,0,0.5,0.5,,False,0,0,0
1-5,set,close,-1,-1,2025-09-24T13:40:43,0.5,👎 Incorrect,open,0,0.5,0.5,,False,0,0,0
1-6,unmute,open,2,2,2025-09-24T13:40:43,0.5,👍 Correct,,0,0.5,0.5,,False,0,0,0
1-7,play,close,2,2,2025-09-24T13:40:43,0.5,👍 Correct,,0,0.5,0.5,,False,0,0,0
1-8,open,unmute,2,2,2025-09-24T13:40:43,0.5,👍 Correct,,0,0.5,0.5,,False,0,0,0
1-9,check,mute,-1,-1,2025-09-24T13:40:43,0.5,👎 Incorrect,unmute,0,0.5,0.5,,False,0,0,0
1-10,mute,set_dnd,2,2,2025-09-24T13:40:43,0.5,👍 Correct,,0,0.5,0.5,,False,0,0,0
1-11,screenshot,screenshot,2,2,2025-09-24T13:40:43,0.5,👍 Correct,,0,0.5,0.5,,False,0,0,0
1-12,play,open,-1,-1,2025-09-24T13:40:43,0.5,👎 Incorrect,open,0,0.5,0.5,,False,0,0,0
1-13,set,play,2,2,2025-09-24T13:40:43,0.5,👍 Correct,,0,0.5,0.5,,False,0,0,0
1-14,take,screenshot,2,2,2025-09-24T13:40:43,0.5,👍 Correct,,0,0.5,0.5,,False,0,0,0
1-15,open,unmute,2,2,2025-09-24T13:40:43,0.5,👍 Correct,,0,0.5,0.5,,False,0,0,0
2-1,open,unmute,2,2,2025-09-24T13:40:43,0.5,👍 Correct,,0,0.5,0.5,,False,0,0,0
2-2,check,mute,-1,-1,2025-09-24T13:40:43,0.5,👎 Incorrect,play,0,0.5,0.5,,False,0,0,0
2-3,mute,set_dnd,-1,-1,2025-09-24T13:40:43,0.5,👎 Incorrect,play,0,0.5,0.5,,False,0,0,0
2-4,take,play,-1,-1,2025-09-24T13:40:43,0.5,👎 Incorrect,screenshot,0,0.5,0.5,,False,0,0,0
2-5,set,play,2,2,2025-09-24T13:40:43,0.5,👍 Correct,,0,0.5,0.5,,False,0,0,0
2-6,unmute,open,-1,-1,2025-09-24T13:40:43,0.5,👎 Incorrect,unmute,0,0.5,0.5,,False,0,0,0
